Question Number,Question Title,Answer Option,Is Correct
"1","Którego polecenia nalezy użyć, aby wyraz TEKST został wyświetleny w kolorze czarnym w oknie przeglądarki internetowej?","A. <body color="black"> TEKST </font>",false
"1","Którego polecenia nalezy użyć, aby wyraz TEKST został wyświetleny w kolorze czarnym w oknie przeglądarki internetowej?","B. <font color="czarny"> TEKST </font>",false
"1","Którego polecenia nalezy użyć, aby wyraz TEKST został wyświetleny w kolorze czarnym w oknie przeglądarki internetowej?","C. <font color="#000000"> TEKST </font>",true
"1","Którego polecenia nalezy użyć, aby wyraz TEKST został wyświetleny w kolorze czarnym w oknie przeglądarki internetowej?","D. <body bgcolor="black"> TEKST </body>",false
"2","W poleceniach, których celem jest odtwarzanie na stronie internetowej dźwięku jako podkładu muzycznego NIE wykorzystuje się atrybutu","A. loop="10"",false
"2","W poleceniach, których celem jest odtwarzanie na stronie internetowej dźwięku jako podkładu muzycznego NIE wykorzystuje się atrybutu","B. balance="-10"",false
"2","W poleceniach, których celem jest odtwarzanie na stronie internetowej dźwięku jako podkładu muzycznego NIE wykorzystuje się atrybutu","C. volume="-100"",false
"2","W poleceniach, których celem jest odtwarzanie na stronie internetowej dźwięku jako podkładu muzycznego NIE wykorzystuje się atrybutu","D. href="C:/100.wav"",true
"3","Jakiego znacznika należy użyć, aby przejść do kolejnej linii tekstu, nie tworząc akapitu na stronie internetowej?","A. <p>",false
"3","Jakiego znacznika należy użyć, aby przejść do kolejnej linii tekstu, nie tworząc akapitu na stronie internetowej?","B. </b>",false
"3","Jakiego znacznika należy użyć, aby przejść do kolejnej linii tekstu, nie tworząc akapitu na stronie internetowej?","C. <br>",true
"3","Jakiego znacznika należy użyć, aby przejść do kolejnej linii tekstu, nie tworząc akapitu na stronie internetowej?","D. </br>",false
"4","Kaskadowe arkusze stylów tworzy się w celu","A. ułatwienia formatowania strony",true
"4","Kaskadowe arkusze stylów tworzy się w celu","B. nadpisywania wartości znaczników już ustawionych na stronie",false
"4","Kaskadowe arkusze stylów tworzy się w celu","C. połączenia struktury dokumentu strony z właściwą formą jego prezentacji",false
"4","Kaskadowe arkusze stylów tworzy się w celu","D. blokowania jakichkolwiek zmian w wartościach znaczników już przypisanych w pliku CSS",false
"5","W podanej regule CSS: h1 {color: blue} h1 oznacza","A. klasę",false
"5","W podanej regule CSS: h1 {color: blue} h1 oznacza","B. wartość",false
"5","W podanej regule CSS: h1 {color: blue} h1 oznacza","C. selektor",true
"5","W podanej regule CSS: h1 {color: blue} h1 oznacza","D. deklarację",false
"6","Edytor spełniający założenia WYSIWYG musi umożliwiać","A. tworzenie podstawowej grafiki wektorowej",false
"6","Edytor spełniający założenia WYSIWYG musi umożliwiać","B. publikację strony na serwerze poprzez wbudowanego klienta FTP",false
"6","Edytor spełniający założenia WYSIWYG musi umożliwiać","C. obróbkę plików dźwiękowych przed umieszczeniem ich na stronie internetowej",false
"6","Edytor spełniający założenia WYSIWYG musi umożliwiać","D. uzyskanie zbliżonego wyniku tworzenej strony do jej obrazu w przegladarce interenetowej",true
"7","Do graficznego tworzenia stron internetowych należy wykorzystać.","A. edytor CSS",false
"7","Do graficznego tworzenia stron internetowych należy wykorzystać.","B. przeglądarkę internetową",false
"7","Do graficznego tworzenia stron internetowych należy wykorzystać.","C. program typu WYSIWYG",true
